scope,field_a,field_b,correlation_kind,pearson_or_phi,spearman,n
full_filtered,is_click,long_view,phi_binary_pearson,0.7603405618403721,,1134420
full_filtered,is_click,is_like,phi_binary_pearson,0.10735883445745477,,1134420
full_filtered,is_click,is_follow,phi_binary_pearson,0.027239156991920577,,1134420
full_filtered,is_click,is_comment,phi_binary_pearson,0.051738263326089384,,1134420
full_filtered,is_click,is_forward,phi_binary_pearson,0.026188420007085537,,1134420
full_filtered,is_click,is_hate,phi_binary_pearson,-0.0008019612914927202,,1134420
full_filtered,is_click,is_profile_enter,phi_binary_pearson,0.15613711112129502,,1134420
full_filtered,is_click,strong_positive,phi_binary_pearson,0.12166270591248221,,1134420
full_filtered,is_click,explicit_positive,phi_binary_pearson,0.19338356790760144,,1134420
full_filtered,is_click,deep_engagement,phi_binary_pearson,0.7640713480943757,,1134420
full_filtered,long_view,is_like,phi_binary_pearson,0.09920751423063737,,1134420
full_filtered,long_view,is_follow,phi_binary_pearson,0.024706498719940365,,1134420
full_filtered,long_view,is_comment,phi_binary_pearson,0.05903613031105638,,1134420
full_filtered,long_view,is_forward,phi_binary_pearson,0.022448464922569567,,1134420
full_filtered,long_view,is_hate,phi_binary_pearson,-0.003940021779006516,,1134420
full_filtered,long_view,is_profile_enter,phi_binary_pearson,0.1464451170400284,,1134420
full_filtered,long_view,strong_positive,phi_binary_pearson,0.11563066361327465,,1134420
full_filtered,long_view,explicit_positive,phi_binary_pearson,0.1827958513595084,,1134420
full_filtered,long_view,deep_engagement,phi_binary_pearson,0.9733249429630169,,1134420
full_filtered,is_like,is_follow,phi_binary_pearson,0.09298685760440457,,1134420
full_filtered,is_like,is_comment,phi_binary_pearson,0.05061065358466133,,1134420
full_filtered,is_like,is_forward,phi_binary_pearson,0.0320166095106027,,1134420
full_filtered,is_like,is_hate,phi_binary_pearson,-0.0003032866918789825,,1134420
full_filtered,is_like,is_profile_enter,phi_binary_pearson,0.0597866023034234,,1134420
full_filtered,is_like,strong_positive,phi_binary_pearson,0.9147309039909107,,1134420
full_filtered,is_like,explicit_positive,phi_binary_pearson,0.632004619166328,,1134420
full_filtered,is_like,deep_engagement,phi_binary_pearson,0.1885545728525007,,1134420
full_filtered,is_follow,is_comment,phi_binary_pearson,0.005056965097943822,,1134420
full_filtered,is_follow,is_forward,phi_binary_pearson,0.010652885070780814,,1134420
full_filtered,is_follow,is_hate,phi_binary_pearson,0.0007189342586511053,,1134420
full_filtered,is_follow,is_profile_enter,phi_binary_pearson,0.04668098370638402,,1134420
full_filtered,is_follow,strong_positive,phi_binary_pearson,0.20843549693487182,,1134420
full_filtered,is_follow,explicit_positive,phi_binary_pearson,0.14401196711113312,,1134420
full_filtered,is_follow,deep_engagement,phi_binary_pearson,0.04296505772395392,,1134420
full_filtered,is_comment,is_forward,phi_binary_pearson,0.00839365797329954,,1134420
full_filtered,is_comment,is_hate,phi_binary_pearson,0.0006476402300306502,,1134420
full_filtered,is_comment,is_profile_enter,phi_binary_pearson,0.026419686173664084,,1134420
full_filtered,is_comment,strong_positive,phi_binary_pearson,0.3368559753930167,,1134420
full_filtered,is_comment,explicit_positive,phi_binary_pearson,0.23274006761258767,,1134420
full_filtered,is_comment,deep_engagement,phi_binary_pearson,0.06943652420174262,,1134420
full_filtered,is_forward,is_hate,phi_binary_pearson,0.007554004053473137,,1134420
full_filtered,is_forward,is_profile_enter,phi_binary_pearson,0.01029284763060842,,1134420
full_filtered,is_forward,strong_positive,phi_binary_pearson,0.2082489604416021,,1134420
full_filtered,is_forward,explicit_positive,phi_binary_pearson,0.14388308557353544,,1134420
full_filtered,is_forward,deep_engagement,phi_binary_pearson,0.04292660673398862,,1134420
full_filtered,is_hate,is_profile_enter,phi_binary_pearson,-0.0019597023835744506,,1134420
full_filtered,is_hate,strong_positive,phi_binary_pearson,0.0015508990786093706,,1134420
full_filtered,is_hate,explicit_positive,phi_binary_pearson,-0.00016746133614029386,,1134420
full_filtered,is_hate,deep_engagement,phi_binary_pearson,-0.003532702939262027,,1134420
full_filtered,is_profile_enter,strong_positive,phi_binary_pearson,0.06968698242531689,,1134420
full_filtered,is_profile_enter,explicit_positive,phi_binary_pearson,0.7399398503820964,,1134420
full_filtered,is_profile_enter,deep_engagement,phi_binary_pearson,0.22075636505532978,,1134420
full_filtered,strong_positive,explicit_positive,phi_binary_pearson,0.6909186258045181,,1134420
full_filtered,strong_positive,deep_engagement,phi_binary_pearson,0.20613119337047206,,1134420
full_filtered,explicit_positive,deep_engagement,phi_binary_pearson,0.29834366258464573,,1134420
full_filtered,play_time_ms,is_click,continuous_vs_binary,0.5221771997840089,0.824032183852432,1134420
full_filtered,play_time_ms,long_view,continuous_vs_binary,0.6357583763449528,0.8084637229487187,1134420
full_filtered,play_time_ms,is_like,continuous_vs_binary,0.07545142400726851,0.10102446531954838,1134420
full_filtered,play_time_ms,is_follow,continuous_vs_binary,0.0324394397103847,0.026871810254306083,1134420
full_filtered,play_time_ms,is_comment,continuous_vs_binary,0.054371717818929986,0.054846485239692336,1134420
full_filtered,play_time_ms,is_forward,continuous_vs_binary,0.02384546546775492,0.025628144347321594,1134420
full_filtered,play_time_ms,is_hate,continuous_vs_binary,-0.003866740649864753,0.0007324038158356528,1134420
full_filtered,play_time_ms,is_profile_enter,continuous_vs_binary,0.19315310698308838,0.1564833746317688,1134420
full_filtered,play_time_ms,strong_positive,continuous_vs_binary,0.09426601442140789,0.11701263368446375,1134420
